Type,ID,Chen,Leo,Samuel & Chayan,,comment,data table,charting tool,chart source,Source Link,Notes,,,
,,648 labeled,452 verified,173 labeled,need to align axis ticks and lines,,,,,,,,,
Area Chart,1,TRUE,TRUE,FALSE,FALSE,,FALSE,Vega ,,https://vega.github.io/vega/examples/area-chart/,,,,
Area Chart,2,TRUE,TRUE,FALSE,FALSE,,FALSE,D3.js,Observable.com,https://observablehq.com/@elishaterada/simple-area-chart-with-tooltip,,,,
Area Chart,3,TRUE,TRUE,FALSE,FALSE,,FALSE,ApexCharts,,https://apexcharts.com/docs/chart-types/area-chart/,,,,
Area Chart,4,TRUE,TRUE,FALSE,FALSE,,FALSE,Mascot.js,,https://mascot-vis.github.io/gallery.html#AreaChart,,,,
Area Chart,5,TRUE,TRUE,FALSE,FALSE,,FALSE,D3.js,Observable.com,https://observablehq.com/@valentinachaconbuitrago/area-chart-with-focus-context,,,,
Area Chart,6,TRUE,TRUE,FALSE,FALSE,,FALSE,D3.js,Observable.com,https://observablehq.com/@bartok32/real-time-area-chart,,,,
Area Chart,7,TRUE,TRUE,FALSE,FALSE,,FALSE,D3.js,Observable.com,https://observablehq.com/@d3/zoomable-area-chart,,,,
Area Chart,8,TRUE,TRUE,FALSE,FALSE,,FALSE,Mascot.js,,https://mascot-vis.github.io/gallery.html#AreaChart2,,,,
Area Chart,9,TRUE,TRUE,FALSE,FALSE,,FALSE,D3.js,Observable.com,https://observablehq.com/@xianwu/area-chart-basic,,,,
Area Chart,10,TRUE,TRUE,FALSE,FALSE,,FALSE,Evidence ,,https://docs.evidence.dev/components/all-components/,,,,
Area Chart,11,TRUE,TRUE,FALSE,FALSE,,FALSE,ApexCharts,,https://apexcharts.com/docs/chart-types/area-chart/,,,,
Area Chart,12,TRUE,FALSE,FALSE,FALSE,,FALSE,,superchart.io,https://www.superchart.io/guide/how-to-make-a-graph-in-google-sheets,,,,
Area Chart,13,TRUE,FALSE,FALSE,FALSE,,FALSE,D3.js,,https://dataviz.unhcr.org/tools/d3/d3_area_chart.html,,,,
